항공사명,한글항공사명,IATA코드,ICAO코드,항공사상태,사업모델,국가,지역,,
Air Philip,에어필립,3P,APV,Grounded,Full Service Carrier,South Korea,North East Asia,,
Air Pohang,에어포항,RN,KAB,Grounded,Full Service Carrier,South Korea,North East Asia,,
Air Poland,에어포항,4Q,AEI,Grounded,Charter,Poland,Eastern/Central Europe,,
Air Premia,에어프레미아,YP,APZ,Startup,Full Service Carrier,South Korea,North East Asia,,
Air Prishtina,에어 프리슈티나,,,Active,Virtual Carrier,Kosovo,Eastern/Central Europe,,
Air Rarotonga,에어 라로통가,GZ,,Active,Regional/Commuter,Cook Islands,Southwest Pacific,,
Air Republiq,에어 리퍼블릭,,,Active,Regional/Commuter,Philippines,South East Asia,,
Air Saint Pierre,에어 생피에르,PJ,SPM,Active,Full Service Carrier,Saint Pierre and Miquelon,North America,,
Air Samara,사마라 항공,,,Grounded,Regional/Commuter,Russian Federation,Eastern/Central Europe,,
Air Scandic,에어 스칸딕,,,Grounded,Charter,Jersey,Western Europe,,
Air Scandic (Aland Islands),에어스칸딕(올랜드제도),,,Active,Virtual Carrier,Finland,Western Europe,,
Air Senegal,에어 세네갈,HC,SZN,Active,Full Service Carrier,Senegal,Central/Western Africa,,
Air Seoul,에어서울,RS,ASV,Active,Low Cost Carrier,South Korea,North East Asia,,
Air Serbia,에어 세르비아,JU,ASL,Active,Full Service Carrier,Serbia,Eastern/Central Europe,,
Air Serv International,에어서버 인터내셔널,,,Active,,Uganda,Eastern Africa,,
Air Seychelles,에어세이쉘,HM,SEY,Active,Full Service Carrier,Seychelles,Eastern Africa,,
Air SGS,에어 SGS,,,Startup,Charter,India,South Asia,,
Air Shuttle,에어 셔틀,,,Grounded,Charter,Ghana,Central/Western Africa,,
Air Sial,에어시알,PF,SIF,Active,Full Service Carrier,Pakistan,South Asia,,
Air Siem Reap,에어씨엠립,,,Startup,Full Service Carrier,Cambodia,South East Asia,,
Air Sinai,에어시나이,4D,ASD,Active,Full Service Carrier,Egypt,North Africa,,
Air South Charter,에어 사우스 카고,,,Active,Charter,Australia,Southwest Pacific,,
Air Southwest,에어 사우스웨스트,SZ,,Grounded,Regional/Commuter,United Kingdom,Western Europe,,
Air Sud,수드 항공,,,Grounded,Virtual Carrier,Italy,Western Europe,,
Air Sunshine,에어 선샤인,YI,RSI,Active,Regional/Commuter,United States of America,North America,,
Air Tahiti,에어 타히티 ,VT,VTA,Active,Regional/Commuter,French Polynesia,Southwest Pacific,,
Air Tahiti Nui,에어타히티누이,TN,THT,Active,Full Service Carrier,French Polynesia,Southwest Pacific,,
